Firmware Version = HSP2SPO2_3_4.6, Sensor Hub Version = 30.8.3
AEC=ON,SCD=ON,Operation Mode=Raw,Algo Mode=2:Continuous HRM,Sample Rate (Hz)=100,Sample Averaging=4,Pulse Width (usec)=21.3,ADC Range (nA)=32768,ADC 2 Range (nA)=32768,IR PA (mA)=124,Red PA (mA)=124,Green PA (mA)=20,IR LED Range (mA)=124,Red LED Range (mA)=124,Green LED Range (mA)=124,Adj. Target PD Current Period=1800,Motion Det. Threshold=0.05,Min. PD Current=5,Init PD Current=10,Target PD Current=10,HR Confidence Level=0,HR Expiration Threshold=30,Init Integration Time=117.3,Min. Integration Time=14.8,Max. Integration Time=117.3,Init F Sampling-Avg=100 sps, avg=4,Min. F Sampling-Avg=25 sps, avg=1,Max. F Sampling-Avg=100 sps, avg=4
PPG registers dump,0=0,1=0,2=0,3=0,9=3F,A=0,B=0,C=0,D=2,10=0,11=3,12=88,13=40,14=0,15=0,16=40,20=0,21=0,22=0,23=0,24=0,25=0,26=0,27=0,28=0,29=0,2A=0,2B=0,2C=0,2D=0,2E=0,2F=0,30=0,31=0,32=0,33=0,34=0,35=0,36=0,37=0,40=0,41=0,42=0 
Time, Sample Count, Green Count, Green2 Count, IR Count, Red Count, X Axis Acceleration (g), Y Axis Acceleration (g), Z Axis Acceleration (g), Operating Mode, Heart Rate (bpm), HR Confidence (%), RR, RR Confidence (%), Activity, R Value, SpO2 Confidence (%), SpO2 (%), SpO2 Percent Complete, Low Signal Quality, Motion Flag, WSPO2 Low Pi, Unreliable R, SpO2 State, SCD State, SAMPLE Time, Walk Steps, Run Steps, KCal, Tot. Act. Energy, Ibi Offset
2022-02-17 13:08:35.479,42,24640,21532,77612,24286,0.978,-0.18,0.23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:35.527,43,24628,21518,77616,24294,0.979,-0.189,0.232,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:35.559,44,24620,21517,77635,24292,0.979,-0.184,0.232,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:35.606,45,24619,21513,77648,24293,0.978,-0.182,0.233,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:35.684,46,24613,21502,77675,24299,0.979,-0.189,0.23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:35.716,47,24613,21516,77673,24303,0.978,-0.18,0.233,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:35.764,48,24617,21511,77697,24312,0.979,-0.185,0.232,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:35.795,49,24616,21515,77711,24309,0.979,-0.19,0.233,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:35.888,50,24627,21525,77737,24315,0.979,-0.18,0.233,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:35.920,51,24628,21534,77750,24317,0.979,-0.177,0.23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:35.966,52,24634,21540,77767,24326,0.979,-0.173,0.232,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:35.997,53,24637,21545,77776,24324,0.979,-0.176,0.231,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:36.088,54,24658,21563,77801,24332,0.977,-0.184,0.232,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:36.120,55,24664,21570,77817,24329,0.979,-0.188,0.235,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:36.168,56,24665,21573,77804,24337,0.979,-0.186,0.231,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:36.199,57,24663,21571,77767,24325,0.979,-0.174,0.23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:36.278,58,24633,21555,77694,24310,0.979,-0.181,0.232,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:36.325,59,24597,21518,77642,24302,0.979,-0.183,0.232,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:36.356,60,24555,21471,77605,24299,0.979,-0.189,0.232,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:36.403,61,24527,21442,77592,24291,0.978,-0.183,0.233,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:36.435,62,24483,21410,77594,24291,0.979,-0.172,0.232,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:36.483,63,24470,21392,77599,24295,0.979,-0.185,0.234,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:36.514,64,24452,21372,77604,24299,0.979,-0.17,0.233,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:36.562,65,24438,21352,77609,24289,0.979,-0.183,0.232,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:36.609,66,24410,21340,77613,24298,0.979,-0.179,0.234,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:36.641,67,24401,21334,77619,24292,0.979,-0.178,0.232,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:36.688,68,24396,21331,77638,24299,0.979,-0.186,0.231,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:36.719,69,24388,21321,77638,24298,0.979,-0.175,0.233,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:36.768,70,24386,21317,77668,24305,0.979,-0.185,0.233,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:36.798,71,24392,21325,77675,24307,0.979,-0.184,0.233,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:36.846,72,24384,21333,77689,24308,0.979,-0.171,0.233,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:36.876,73,24397,21332,77714,24311,0.979,-0.183,0.232,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:36.924,74,24391,21333,77712,24310,0.978,-0.177,0.232,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:36.971,75,24397,21345,77731,24309,0.979,-0.172,0.233,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:37.002,76,24414,21353,77743,24321,0.979,-0.184,0.233,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:37.048,77,24425,21368,77769,24326,0.979,-0.171,0.232,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:37.080,78,24443,21373,77781,24320,0.978,-0.175,0.236,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:37.128,79,24447,21383,77792,24321,0.979,-0.182,0.234,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:37.174,80,24452,21395,77753,24322,0.979,-0.178,0.231,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:37.206,81,24429,21377,77689,24298,0.979,-0.176,0.232,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:37.238,82,24395,21336,77631,24297,0.979,-0.183,0.233,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:37.285,83,24353,21295,77595,24288,0.979,-0.184,0.233,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:37.332,84,24324,21253,77573,24277,0.979,-0.178,0.233,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:37.378,85,24294,21215,77588,24280,0.979,-0.177,0.233,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:37.410,86,24280,21196,77586,24280,0.978,-0.181,0.234,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:37.458,87,24257,21178,77597,24273,0.979,-0.19,0.232,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:37.491,88,24251,21160,77596,24279,0.979,-0.176,0.234,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:37.522,89,24243,21149,77592,24287,0.979,-0.183,0.233,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:37.570,90,24224,21126,77602,24283,0.978,-0.19,0.234,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:37.617,91,24222,21121,77597,24286,0.979,-0.176,0.235,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-02-17 13:08:37.648,92,24221,21113,77619,24287,0.979,-0.185,0.232,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
