Firmware Version = HSP2SPO2_3_4.6, Sensor Hub Version = 30.8.3
AEC=ON,SCD=ON,Operation Mode=Algorithm,Algo Mode=2:Continuous HRM,Sample Rate (Hz)=100,Sample Averaging=4,Pulse Width (usec)=21.3,ADC Range (nA)=32768,ADC 2 Range (nA)=32768,IR PA (mA)=124,Red PA (mA)=124,Green PA (mA)=20,IR LED Range (mA)=124,Red LED Range (mA)=124,Green LED Range (mA)=124,Adj. Target PD Current Period=1800,Motion Det. Threshold=0.05,Min. PD Current=5,Init PD Current=10,Target PD Current=10,HR Confidence Level=0,HR Expiration Threshold=30,Init Integration Time=117.3,Min. Integration Time=14.8,Max. Integration Time=117.3,Init F Sampling-Avg=100 sps, avg=4,Min. F Sampling-Avg=25 sps, avg=1,Max. F Sampling-Avg=100 sps, avg=4
PPG registers dump,0=0,1=0,2=0,3=0,9=3F,A=0,B=0,C=0,D=2,10=0,11=3,12=88,13=40,14=0,15=0,16=40,20=0,21=0,22=0,23=0,24=0,25=0,26=0,27=0,28=0,29=0,2A=0,2B=0,2C=0,2D=0,2E=0,2F=0,30=0,31=0,32=0,33=0,34=0,35=0,36=0,37=0,40=0,41=0,42=0 
Time, Sample Count, Green Count, Green2 Count, IR Count, Red Count, X Axis Acceleration (g), Y Axis Acceleration (g), Z Axis Acceleration (g), Operating Mode, Heart Rate (bpm), HR Confidence (%), RR, RR Confidence (%), Activity, R Value, SpO2 Confidence (%), SpO2 (%), SpO2 Percent Complete, Low Signal Quality, Motion Flag, WSPO2 Low Pi, Unreliable R, SpO2 State, SCD State, SAMPLE Time, Walk Steps, Run Steps, KCal, Tot. Act. Energy, Ibi Offset
2022-02-17 13:16:11.507,0,33407,26980,20269,7707,0.571,0.15,0.97,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:11.593,1,33338,27061,1,0,0.566,0.116,0.9,2,60,0,0,32,-6,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:11.601,2,41350,33688,0,0,0.567,0.184,0.973,2,60,0,0,32,WALK,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:11.666,3,49576,40564,1,1,0.56,0.183,0.916,2,60,0,0,32,-6,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:11.673,4,57310,47063,0,0,0.573,0.209,0.883,2,60,0,0,32,6,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:11.737,5,64672,53330,0,1,0.572,0.206,0.875,2,60,0,0,32,-2,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:11.799,6,71642,59336,0,0,0.563,0.226,0.878,2,60,0,0,32,6,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:11.867,8,84385,70707,1,0,0.576,0.062,0.954,2,60,0,0,32,6,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:11.874,9,90385,76082,0,0,0.597,-0.028,0.905,2,60,0,0,32,-2,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:11.939,10,96103,81231,0,0,0.605,-0.093,0.87,2,60,0,0,32,WALK,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:11.945,11,97267,82511,1,0,0.639,-0.006,0.799,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:12.010,12,97080,82592,0,0,0.681,-0.08,0.758,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:12.071,14,96841,82704,0,0,0.739,-0.257,0.618,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:12.130,16,96856,82145,0,0,0.819,-0.261,0.495,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:12.188,17,97115,81740,0,0,0.776,-0.102,0.44,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:12.193,18,97239,81524,1,0,0.865,-0.239,0.424,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:12.255,19,97349,81318,0,1,0.889,-0.243,0.434,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:12.261,20,97562,81196,0,0,0.892,-0.262,0.416,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:12.320,21,97838,81114,0,1,0.877,-0.221,0.406,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:12.371,22,98134,81066,0,0,0.884,-0.316,0.392,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:12.377,24,98675,81142,0,0,0.882,-0.376,0.366,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:12.428,25,98945,81204,0,0,0.884,-0.285,0.372,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:12.486,26,99170,81267,0,0,0.889,-0.417,0.34,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:12.541,27,99348,81297,0,0,0.878,-0.417,0.375,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47819,--,--,--,--,--
2022-02-17 13:16:12.546,28,99461,81272,0,0,0.874,-0.428,0.375,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:12.597,29,99384,81175,0,0,0.871,-0.373,0.382,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:12.649,30,99163,81034,0,0,0.876,-0.381,0.375,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:12.703,31,98832,80881,0,1,0.873,-0.422,0.376,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:12.708,33,98249,80691,0,0,0.875,-0.375,0.37,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:12.767,34,97977,80625,0,1,0.872,-0.432,0.378,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:12.822,35,97780,80566,0,1,0.87,-0.396,0.398,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:12.828,36,97653,80478,0,0,0.872,-0.409,0.375,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:12.882,37,97622,80430,0,1,0.875,-0.406,0.363,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:12.939,38,97631,80372,1,0,0.872,-0.385,0.372,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:12.944,39,97657,80316,2,1,0.872,-0.393,0.367,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:12.998,40,97736,80303,1,0,0.873,-0.395,0.369,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:13.049,41,97825,80283,1,1,0.87,-0.386,0.378,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:13.060,42,97900,80266,0,0,0.871,-0.388,0.391,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:13.113,43,97957,80260,1,1,0.87,-0.416,0.383,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:13.160,44,98014,80272,0,0,0.872,-0.401,0.367,2,60,0,0,32,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:13.210,45,98068,80288,0,0,0.872,-0.388,0.379,2,60,0,0,0,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:13.220,46,98113,80301,1,0,0.871,-0.393,0.397,2,60,0,0,0,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:13.273,47,98156,80288,0,0,0.87,-0.416,0.394,2,60,0,0,0,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:13.325,48,98095,80178,0,1,0.87,-0.414,0.414,2,60,0,0,0,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:13.377,49,97920,79993,1,0,0.868,-0.416,0.431,2,60,0,0,0,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:13.381,50,97691,79779,0,0,0.871,-0.394,0.417,2,60,0,0,0,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:13.435,51,97444,79541,1,1,0.864,-0.389,0.454,2,60,0,0,0,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
2022-02-17 13:16:13.505,52,97130,79279,0,0,0.87,-0.452,0.443,2,60,0,0,0,REST,0,0,0,0,0,0,0,0,4,NO DECISION,47820,--,--,--,--,--
